grid,laps,year,round,lat,lng,alt,position_quali,q1,q2,q3,points_driver_standing,position_driver_standing,wins,points_team_standing,position_team_standing,wins_team_standing,podium,age_at_race
1,58,2008,1,-37.8497,144.968,10,1.0,86.572,85.187,86.714,10.0,1.0,1.0,14.0,1.0,1.0,1,23.186858316221766
5,58,2008,1,-37.8497,144.968,10,5.0,85.96000000000001,85.518,87.236,8.0,2.0,0.0,8.0,3.0,0.0,1,30.850102669404517
7,58,2008,1,-37.8497,144.968,10,7.0,86.295,86.059,88.687,6.0,3.0,0.0,9.0,2.0,0.0,1,22.718685831622178
11,58,2008,1,-37.8497,144.968,10,12.0,86.907,86.188,0.0,5.0,4.0,0.0,5.0,4.0,0.0,0,26.63107460643395
3,58,2008,1,-37.8497,144.968,10,3.0,85.664,85.452,87.07900000000001,4.0,5.0,0.0,14.0,1.0,1.0,0,26.406570841889117
13,57,2008,1,-37.8497,144.968,10,14.0,86.89099999999999,86.413,0.0,3.0,6.0,0.0,9.0,2.0,0.0,0,23.175906913073238
17,55,2008,1,-37.8497,144.968,10,18.0,87.446,0.0,0.0,2.0,7.0,0.0,2.0,5.0,0.0,0,29.045859000684462
15,53,2008,1,-37.8497,144.968,10,16.0,86.14,0.0,0.0,1.0,8.0,0.0,1.0,6.0,0.0,0,28.413415468856947
2,47,2008,1,-37.8497,144.968,10,2.0,86.10300000000001,85.315,86.869,3.0,13.0,0.0,8.0,3.0,0.0,0,23.27173169062286
18,43,2008,1,-37.8497,144.968,10,9.0,86.919,86.164,89.593,3.0,13.0,0.0,10.0,6.0,0.0,0,25.9958932238193
19,32,2008,1,-37.8497,144.968,10,20.0,88.208,0.0,0.0,3.0,13.0,0.0,10.0,6.0,0.0,0,31.129363449691994
20,30,2008,1,-37.8497,144.968,10,21.0,88.33,0.0,0.0,3.0,13.0,0.0,5.0,4.0,0.0,0,22.642026009582477
4,29,2008,1,-37.8497,144.968,10,4.0,85.994,85.691,87.178,3.0,13.0,0.0,1.0,6.0,0.0,0,26.8911704312115
8,25,2008,1,-37.8497,144.968,10,8.0,86.381,86.063,89.041,3.0,13.0,0.0,10.0,6.0,0.0,0,36.9719370294319
6,19,2008,1,-37.8497,144.968,10,6.0,86.42699999999999,86.101,88.527,3.0,13.0,0.0,10.0,6.0,0.0,0,33.67556468172484
22,8,2008,1,-37.8497,144.968,10,19.0,87.85900000000001,0.0,0.0,3.0,13.0,0.0,10.0,6.0,0.0,0,25.177275838466805
14,0,2008,1,-37.8497,144.968,10,15.0,86.914,0.0,0.0,3.0,13.0,0.0,10.0,6.0,0.0,0,31.550992470910334
12,0,2008,1,-37.8497,144.968,10,13.0,86.712,86.259,0.0,3.0,13.0,0.0,10.0,6.0,0.0,0,28.15605749486653
21,0,2008,1,-37.8497,144.968,10,22.0,89.059,0.0,0.0,3.0,13.0,0.0,10.0,6.0,0.0,0,28.91170431211499
9,0,2008,1,-37.8497,144.968,10,10.0,86.702,85.842,0.0,3.0,13.0,0.0,2.0,5.0,0.0,0,20.70362765229295
16,0,2008,1,-37.8497,144.968,10,17.0,87.207,0.0,0.0,3.0,13.0,0.0,10.0,6.0,0.0,0,35.167693360711844
10,58,2008,1,-37.8497,144.968,10,11.0,86.369,86.173,0.0,3.0,13.0,0.0,10.0,6.0,0.0,0,35.813826146475016
2,56,2008,2,2.76083,101.738,18,2.0,95.64500000000001,94.188,96.22999999999999,11.0,2.0,1.0,11.0,3.0,1.0,1,28.432580424366872
4,56,2008,2,2.76083,101.738,18,6.0,95.794,94.811,96.727,8.0,5.0,0.0,19.0,2.0,0.0,1,23.290896646132786
8,56,2008,2,2.76083,101.738,18,3.0,95.227,94.759,96.613,10.0,4.0,0.0,24.0,1.0,1.0,1,26.425735797399042
3,56,2008,2,2.76083,101.738,18,5.0,95.205,94.96000000000001,96.711,5.0,8.0,0.0,5.0,6.0,0.0,0,33.69472963723477
9,56,2008,2,2.76083,101.738,18,4.0,95.392,94.62700000000001,96.709,14.0,1.0,1.0,24.0,1.0,1.0,0,23.20602327173169
5,56,2008,2,2.76083,101.738,18,7.0,95.729,94.648,96.753,11.0,3.0,0.0,19.0,2.0,0.0,0,30.869267624914443
